Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
13.974;254;;270rounds;Yes;No;4;0.49720;0.92857;0.00000;0.38758;2.97734;Group19@64;AgentW@65;AgentBuyogMain@66;Atlas3@67;0.7758333333333333;0.4971985043305238;0.7757342450193954;0.9285706;0.7758333333333333;0.4971985043305238;0.7757342450193954;0.9285706;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
15.994;270;;270rounds;Yes;No;4;0.38803;0.82143;0.05367;0.46777;2.73337;Atlas3@68;AgentW@69;AgentBuyogMain@70;Group19@71;0.7499999999999999;0.3880288640364307;0.7739082873627621;0.8214278500000001;0.7499999999999999;0.3880288640364307;0.7739082873627621;0.8214278500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
16.690;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentW@72;Atlas3@73;AgentBuyogMain@74;Group19@75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
15.994;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentBuyogMain@76;Atlas3@77;AgentW@78;Group19@79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.209;190;;270rounds;Yes;No;4;0.64286;0.92857;0.00000;0.16661;3.07408;Group19@80;AgentBuyogMain@81;AgentW@82;Atlas3@83;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.6428566;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.6428566;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
17.307;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;Atlas3@84;AgentBuyogMain@85;AgentW@86;Group19@87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
17.558;271;;270rounds;Yes;No;4;0.68493;0.88167;0.00000;0.16221;3.05710;AgentW@88;AgentBuyogMain@89;Atlas3@90;Group19@91;0.8816666666666667;0.6849303286683233;0.7166903495694148;0.7738088500000001;0.8816666666666667;0.6849303286683233;0.7166903495694148;0.7738088500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
17.648;268;;270rounds;Yes;No;4;0.68493;0.88167;0.00000;0.16221;3.05710;AgentBuyogMain@92;AgentW@93;Atlas3@94;Group19@95;0.8816666666666667;0.6849303286683233;0.7166903495694148;0.7738088500000001;0.8816666666666667;0.6849303286683233;0.7166903495694148;0.7738088500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.562;200;;270rounds;Yes;No;4;0.42915;0.94048;0.00000;0.45089;2.91367;Group19@96;Atlas3@97;AgentW@98;AgentBuyogMain@99;0.8958333333333334;0.4291528300621356;0.6482067331217174;0.94047535;0.8958333333333334;0.4291528300621356;0.6482067331217174;0.94047535;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.378;271;;270rounds;Yes;No;4;0.61583;0.79353;0.08636;0.28249;2.81654;Atlas3@100;Group19@101;AgentW@102;AgentBuyogMain@103;0.6158333333333333;0.7047964061501943;0.793532840191558;0.7023803500000001;0.6158333333333333;0.7047964061501943;0.793532840191558;0.7023803500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.504;270;;270rounds;Yes;No;4;0.70401;0.84001;0.00000;0.00000;3.15367;AgentW@104;Group19@105;Atlas3@106;AgentBuyogMain@107;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
15.914;269;;270rounds;Yes;No;4;0.70401;0.84001;0.00000;0.00000;3.15367;AgentBuyogMain@108;Group19@109;Atlas3@110;AgentW@111;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.920;230;;270rounds;Yes;No;4;0.70401;0.84001;0.00000;0.00000;3.15367;Group19@112;AgentW@113;Atlas3@114;AgentBuyogMain@115;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
18.767;231;;270rounds;Yes;No;4;0.44818;1.00000;0.00000;0.47954;2.95736;Atlas3@116;AgentW@117;Group19@118;AgentBuyogMain@119;0.7091666666666666;0.4481811729268628;0.8000164999645744;0.9999991;0.7091666666666666;0.4481811729268628;0.8000164999645744;0.9999991;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
22.857;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentW@120;Atlas3@121;Group19@122;AgentBuyogMain@123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
25.631;269;;270rounds;Yes;No;4;0.58333;0.75877;0.07486;0.24492;2.81807;AgentBuyogMain@124;Atlas3@125;Group19@126;AgentW@127;0.755;0.7209675705751803;0.7587711996867564;0.58333285;0.755;0.7209675705751803;0.7587711996867564;0.58333285;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
19.523;269;;270rounds;Yes;No;4;0.50877;0.89083;0.13985;0.38585;2.67580;Group19@128;AgentBuyogMain@129;Atlas3@130;AgentW@131;0.8908333333333334;0.5087749450277745;0.5142863186244883;0.7619041;0.8908333333333334;0.5087749450277745;0.5142863186244883;0.7619041;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
26.565;269;;270rounds;Yes;No;4;0.41817;0.79166;0.26318;0.65580;2.13400;Atlas3@132;AgentBuyogMain@133;Group19@134;AgentW@135;0.4241666666666666;0.4181693986063617;0.7916613444972634;0.49999955;0.4241666666666666;0.4181693986063617;0.7916613444972634;0.49999955;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
13.934;178;;270rounds;Yes;No;4;0.64286;0.92857;0.00000;0.16661;3.07408;AgentW@136;AgentBuyogMain@137;Group19@138;Atlas3@139;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.6428566;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.6428566;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
20.876;264;;270rounds;Yes;No;4;0.68493;0.88167;0.00000;0.16221;3.05710;AgentBuyogMain@140;AgentW@141;Group19@142;Atlas3@143;0.8816666666666667;0.6849303286683233;0.7166903495694148;0.7738088500000001;0.8816666666666667;0.6849303286683233;0.7166903495694148;0.7738088500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
18.366;271;;270rounds;Yes;No;4;0.18520;0.86905;0.04491;0.66393;2.57958;Group19@144;Atlas3@145;AgentBuyogMain@146;AgentW@147;0.7908333333333334;0.18520307976878692;0.7344947836551281;0.8690468250000001;0.7908333333333334;0.18520307976878692;0.7344947836551281;0.8690468250000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
14.832;271;;270rounds;No;No;2;0.00000;0.00000;1.36280;1.58071;0.00000;Atlas3@148;Group19@149;AgentBuyogMain@150;AgentW@151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
