Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
19.466;271;;270rounds;No;No;3;0.00000;0.00000;1.36280;1.58071;0.00000;Group19@72;AgentBuyogMain@73;Atlas3@74;AgentW@75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
22.823;269;;270rounds;Yes;No;4;0.43667;0.92238;0.10585;0.59924;2.47461;Atlas3@76;AgentBuyogMain@77;Group19@78;AgentW@79;0.43666666666666665;0.47270282289107113;0.922379657600854;0.6428565500000001;0.43666666666666665;0.47270282289107113;0.922379657600854;0.6428565500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
16.922;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentW@80;Atlas3@81;Group19@82;AgentBuyogMain@83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
21.104;271;;270rounds;Yes;No;4;0.21513;0.93084;0.00000;0.70214;2.70241;AgentBuyogMain@84;Atlas3@85;Group19@86;AgentW@87;0.6516666666666666;0.21513320911943556;0.93084468215562;0.9047610500000001;0.6516666666666666;0.21513320911943556;0.93084468215562;0.9047610500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
32.894;271;;270rounds;Yes;No;4;0.19881;0.95250;0.00000;0.65190;2.64968;Group19@88;Atlas3@89;AgentBuyogMain@90;AgentW@91;0.9525;0.1988099589846959;0.7126543527593511;0.7857135250000001;0.9525;0.1988099589846959;0.7126543527593511;0.7857135250000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
37.022;271;;270rounds;Yes;No;4;0.38095;0.87675;0.14268;0.55026;2.40174;Atlas3@92;Group19@93;AgentBuyogMain@94;AgentW@95;0.4525;0.876748466205771;0.6915352098817312;0.380952075;0.4525;0.876748466205771;0.6915352098817312;0.380952075;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
32.589;269;;270rounds;Yes;No;4;0.48917;0.92857;0.00000;0.41460;2.95210;AgentW@96;AgentBuyogMain@97;Group19@98;Atlas3@99;0.7216666666666667;0.4891665771839484;0.8126954115981656;0.9285706;0.7216666666666667;0.4891665771839484;0.8126954115981656;0.9285706;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
43.533;271;;270rounds;No;No;2;0.00000;0.00000;1.36280;1.58071;0.00000;AgentBuyogMain@100;AgentW@101;Group19@102;Atlas3@103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
29.288;270;;270rounds;Yes;No;4;0.45366;0.90476;0.00000;0.41353;2.92674;Group19@104;AgentW@105;AgentBuyogMain@106;Atlas3@107;0.8958333333333334;0.4536614957639661;0.6724889880668964;0.9047611;0.8958333333333334;0.4536614957639661;0.6724889880668964;0.9047611;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
28.895;269;;270rounds;Yes;No;4;0.66876;0.89286;0.00000;0.23337;3.05557;Atlas3@108;AgentW@109;AgentBuyogMain@110;Group19@111;0.7424999999999999;0.6687591642433374;0.7514519900742164;0.89285635;0.7424999999999999;0.6687591642433374;0.7514519900742164;0.89285635;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
